identificador_contrato;fechahora;categoria;id_signo;importe;client_type
ES0081123456789012345678;2024-03-07 18:00:00;AGUA Y SANEAMIENTO;-1;813.68;Heavy Investor
ES0081123456789012345678;2024-08-04 06:00:00;AGUA Y SANEAMIENTO;-1;507.57;Heavy Investor
ES0081123456789012345678;2024-02-23 03:00:00;ALIEXPRESS;-1;422.98;Heavy Investor
ES0081123456789012345678;2024-12-24 09:00:00;ALIEXPRESS;-1;388.36;Heavy Investor
ES0081123456789012345678;2023-09-18 18:00:00;AMAZON;-1;599.52;Heavy Investor
ES0081123456789012345678;2024-01-03 10:00:00;AMAZON;-1;141.20;Heavy Investor
ES0081123456789012345678;2024-01-13 20:00:00;AMAZON;-1;463.15;Heavy Investor
ES0081345678901234567890;2025-04-28 12:00:00;AMAZON;-1;612.89;Movimientos Duplicados
ES0081123456789012345678;2023-03-19 11:00:00;ASOCIACIONES DE PADRES Y MADRES;-1;491.24;Heavy Investor
ES0081123456789012345678;2023-06-14 07:00:00;ASOCIACIONES DE PADRES Y MADRES;-1;272.98;Heavy Investor
ES0081123456789012345678;2024-04-23 03:00:00;ASOCIACIONES DE PADRES Y MADRES;-1;607.02;Heavy Investor
ES0081123456789012345678;2024-08-08 16:00:00;ASOCIACIONES DE PADRES Y MADRES;-1;227.49;Heavy Investor
ES0081123456789012345678;2024-09-11 19:00:00;ASOCIACIONES DE PADRES Y MADRES;-1;186.05;Heavy Investor
ES0081123456789012345678;2025-02-05 22:00:00;ASOCIACIONES DE PADRES Y MADRES;-1;282.90;Heavy Investor
ES0081123456789012345678;2025-04-21 06:00:00;ASOCIACIONES DE PADRES Y MADRES;-1;244.33;Heavy Investor
ES0081123456789012345678;2023-04-14 07:00:00;ASOCIACIONES Y ONGs;-1;865.09;Heavy Investor
ES0081123456789012345678;2023-04-18 20:00:00;ASOCIACIONES Y ONGs;-1;137.71;Heavy Investor
ES0081123456789012345678;2023-05-03 01:00:00;ASOCIACIONES Y ONGs;-1;786.75;Heavy Investor
ES0081123456789012345678;2023-06-26 19:00:00;ASOCIACIONES Y ONGs;-1;879.99;Heavy Investor
ES0081123456789012345678;2023-10-02 08:00:00;ASOCIACIONES Y ONGs;-1;938.94;Heavy Investor
ES0081123456789012345678;2024-07-16 02:00:00;ASOCIACIONES Y ONGs;-1;154.68;Heavy Investor
ES0081123456789012345678;2025-02-03 20:00:00;ASOCIACIONES Y ONGs;-1;106.20;Heavy Investor
ES0081123456789012345678;2023-09-13 16:00:00;CENTROS DEPORTIVOS;-1;619.27;Heavy Investor
ES0081123456789012345678;2023-11-22 21:00:00;CENTROS DEPORTIVOS;-1;683.40;Heavy Investor
ES0081123456789012345678;2024-11-18 12:00:00;CENTROS DEPORTIVOS;-1;676.26;Heavy Investor
ES0081123456789012345678;2023-01-20 06:00:00;COMBUSTIBLE Y RECARGA;-1;608.82;Heavy Investor
ES0081123456789012345678;2024-11-07 07:00:00;COMBUSTIBLE Y RECARGA;-1;248.55;Heavy Investor
ES0081345678901234567890;2025-01-01 02:02:25;COMBUSTIBLE Y RECARGA;-1;50.00;Movimientos Duplicados
ES0081345678901234567890;2025-01-01 02:02:26;COMBUSTIBLE Y RECARGA;-1;50.00;Movimientos Duplicados
ES0081345678901234567890;2025-02-01 03:02:25;COMBUSTIBLE Y RECARGA;-1;70.00;Movimientos Duplicados
ES0081345678901234567890;2025-02-01 03:03:26;COMBUSTIBLE Y RECARGA;-1;70.00;Movimientos Duplicados
ES0081123456789012345678;2023-02-14 14:00:00;CRIPTOMONEDAS;-1;9197.57;Heavy Investor
ES0081123456789012345678;2023-04-04 13:00:00;CRIPTOMONEDAS;-1;12318.37;Heavy Investor
ES0081123456789012345678;2023-04-15 03:00:00;CRIPTOMONEDAS;-1;17958.56;Heavy Investor
ES0081123456789012345678;2023-04-27 08:00:00;CRIPTOMONEDAS;-1;8861.70;Heavy Investor
ES0081123456789012345678;2023-05-06 21:00:00;CRIPTOMONEDAS;-1;732.83;Heavy Investor
ES0081123456789012345678;2023-09-07 18:00:00;CRIPTOMONEDAS;-1;19878.37;Heavy Investor
ES0081123456789012345678;2023-10-15 17:00:00;CRIPTOMONEDAS;-1;6896.45;Heavy Investor
ES0081123456789012345678;2024-01-18 16:00:00;CRIPTOMONEDAS;-1;16345.12;Heavy Investor
ES0081123456789012345678;2024-01-20 17:00:00;CRIPTOMONEDAS;-1;12698.84;Heavy Investor
ES0081123456789012345678;2024-01-22 09:00:00;CRIPTOMONEDAS;-1;474.93;Heavy Investor
ES0081123456789012345678;2024-02-21 00:00:00;CRIPTOMONEDAS;-1;117.09;Heavy Investor
ES0081123456789012345678;2024-02-21 19:00:00;CRIPTOMONEDAS;-1;8814.43;Heavy Investor
ES0081123456789012345678;2024-03-02 03:00:00;CRIPTOMONEDAS;-1;9828.08;Heavy Investor
ES0081123456789012345678;2024-04-07 04:00:00;CRIPTOMONEDAS;-1;517.80;Heavy Investor
ES0081123456789012345678;2024-04-12 09:00:00;CRIPTOMONEDAS;-1;7261.67;Heavy Investor
ES0081123456789012345678;2024-04-27 04:00:00;CRIPTOMONEDAS;-1;14652.31;Heavy Investor
ES0081123456789012345678;2024-06-27 16:00:00;CRIPTOMONEDAS;-1;408.37;Heavy Investor
ES0081123456789012345678;2024-07-28 16:00:00;CRIPTOMONEDAS;-1;6364.79;Heavy Investor
ES0081123456789012345678;2024-09-05 03:00:00;CRIPTOMONEDAS;-1;14869.65;Heavy Investor
ES0081123456789012345678;2024-10-03 14:00:00;CRIPTOMONEDAS;-1;922.94;Heavy Investor
ES0081123456789012345678;2024-10-17 01:00:00;CRIPTOMONEDAS;-1;476.43;Heavy Investor
ES0081123456789012345678;2024-12-22 14:00:00;CRIPTOMONEDAS;-1;18867.19;Heavy Investor
ES0081123456789012345678;2025-01-08 20:00:00;CRIPTOMONEDAS;-1;17050.92;Heavy Investor
ES0081123456789012345678;2025-02-06 11:00:00;CRIPTOMONEDAS;-1;17442.22;Heavy Investor
ES0081765987321048123456;2024-08-12 05:00:00;CRIPTOMONEDAS;-1;947.07;Increasing Salary Worker
ES0081123456789012345678;2023-01-25 20:00:00;EDUCACIÓN;-1;748.31;Heavy Investor
ES0081123456789012345678;2023-02-26 11:00:00;EDUCACIÓN;-1;624.03;Heavy Investor
ES0081123456789012345678;2023-05-07 08:00:00;EDUCACIÓN;-1;284.27;Heavy Investor
ES0081123456789012345678;2023-08-05 06:00:00;EDUCACIÓN;-1;639.00;Heavy Investor
ES0081123456789012345678;2024-01-21 19:00:00;EDUCACIÓN;-1;769.03;Heavy Investor
ES0081123456789012345678;2024-08-09 21:00:00;EDUCACIÓN;-1;824.45;Heavy Investor
ES0081123456789012345678;2024-12-15 18:00:00;EDUCACIÓN;-1;115.19;Heavy Investor
ES0081765987321048123456;2023-11-27 15:00:00;EDUCACIÓN;-1;414.82;Increasing Salary Worker
ES0081123456789012345678;2023-11-20 02:00:00;ELECTRODOMÉSTICOS, INFORMÁTICA Y ELECTRÓNICA;-1;191.53;Heavy Investor
ES0081123456789012345678;2024-02-03 18:00:00;ELECTRODOMÉSTICOS, INFORMÁTICA Y ELECTRÓNICA;-1;604.96;Heavy Investor
ES0081123456789012345678;2024-03-22 19:00:00;ELECTRODOMÉSTICOS, INFORMÁTICA Y ELECTRÓNICA;-1;687.62;Heavy Investor
ES0081123456789012345678;2024-06-19 09:00:00;ELECTRODOMÉSTICOS, INFORMÁTICA Y ELECTRÓNICA;-1;319.77;Heavy Investor
ES0081123456789012345678;2024-09-04 17:00:00;ELECTRODOMÉSTICOS, INFORMÁTICA Y ELECTRÓNICA;-1;782.80;Heavy Investor
ES0081123456789012345678;2024-12-19 21:00:00;ELECTRODOMÉSTICOS, INFORMÁTICA Y ELECTRÓNICA;-1;547.52;Heavy Investor
ES0081123456789012345678;2023-02-11 06:00:00;ENERGÍA Y GAS;-1;843.41;Heavy Investor
