identificador_contrato;fechahora;categoria;id_signo;importe;client_type
ES0081765987321048123456;05/01/2023 9:00;NOMINA;1;10000;Increasing Salary Worker
ES0081765987321048123456;05/01/2023 16:00;PENSION ALIMENTICIA;1;1358.16036;Increasing Salary Worker
ES0081765987321048123456;09/01/2023 6:00;ENERGÍA Y GAS;-1;446.5775388;Increasing Salary Worker
ES0081765987321048123456;15/01/2023 13:00;ROPA Y CALZADO;-1;146.0177443;Increasing Salary Worker
ES0081765987321048123456;21/01/2023 12:00;SUPERMERCADOS, PEQUEÑO COMERCIO;-1;302.5725319;Increasing Salary Worker
ES0081765987321048123456;23/01/2023 14:00;ROPA Y CALZADO;-1;375.81225;Increasing Salary Worker
ES0081765987321048123456;24/01/2023 14:00;SUPERMERCADOS, PEQUEÑO COMERCIO;-1;109.5694283;Increasing Salary Worker
ES0081765987321048123456;26/01/2023 1:00;SUPERMERCADOS, PEQUEÑO COMERCIO;-1;318.645332;Increasing Salary Worker
ES0081765987321048123456;04/02/2023 10:00;SUPERMERCADOS, PEQUEÑO COMERCIO;-1;450.2238305;Increasing Salary Worker
ES0081765987321048123456;05/02/2023 9:00;NOMINA;1;10041.66667;Increasing Salary Worker
ES0081765987321048123456;06/02/2023 9:00;ENERGÍA Y GAS;-1;117.9050355;Increasing Salary Worker
ES0081765987321048123456;08/02/2023 2:00;ROPA Y CALZADO;-1;251.2576908;Increasing Salary Worker
ES0081765987321048123456;16/02/2023 12:00;PENSION ALIMENTICIA;1;1117.034159;Increasing Salary Worker
ES0081765987321048123456;19/02/2023 16:00;ROPA Y CALZADO;-1;350.6288331;Increasing Salary Worker
ES0081765987321048123456;27/02/2023 12:00;SUPERMERCADOS, PEQUEÑO COMERCIO;-1;183.9938525;Increasing Salary Worker
ES0081765987321048123456;28/02/2023 1:00;ENERGÍA Y GAS;-1;94.60108681;Increasing Salary Worker
ES0081765987321048123456;05/03/2023 9:00;NOMINA;1;10083.33333;Increasing Salary Worker
ES0081765987321048123456;10/03/2023 0:00;ROPA Y CALZADO;-1;91.19952055;Increasing Salary Worker
ES0081765987321048123456;11/03/2023 14:00;PENSION ALIMENTICIA;1;870.5407848;Increasing Salary Worker
ES0081765987321048123456;14/03/2023 19:00;SUPERMERCADOS, PEQUEÑO COMERCIO;-1;76.46914604;Increasing Salary Worker
ES0081765987321048123456;19/03/2023 11:00;SUPERMERCADOS, PEQUEÑO COMERCIO;-1;177.5312104;Increasing Salary Worker
ES0081765987321048123456;19/03/2023 17:00;SUPERMERCADOS, PEQUEÑO COMERCIO;-1;131.5008632;Increasing Salary Worker
ES0081765987321048123456;21/03/2023 0:00;SUPERMERCADOS, PEQUEÑO COMERCIO;-1;356.6953352;Increasing Salary Worker
ES0081765987321048123456;22/03/2023 20:00;ROPA Y CALZADO;-1;276.8252457;Increasing Salary Worker
ES0081765987321048123456;26/03/2023 4:00;ROPA Y CALZADO;-1;50.51296626;Increasing Salary Worker
ES0081765987321048123456;04/04/2023 8:00;SUPERMERCADOS, PEQUEÑO COMERCIO;-1;52.91169299;Increasing Salary Worker
ES0081765987321048123456;05/04/2023 9:00;NOMINA;1;10125;Increasing Salary Worker
ES0081765987321048123456;10/04/2023 14:00;ENERGÍA Y GAS;-1;203.5865507;Increasing Salary Worker
ES0081765987321048123456;11/04/2023 6:00;ROPA Y CALZADO;-1;484.5873821;Increasing Salary Worker
ES0081765987321048123456;16/04/2023 7:00;ENERGÍA Y GAS;-1;224.8949864;Increasing Salary Worker
ES0081765987321048123456;23/04/2023 5:00;ENERGÍA Y GAS;-1;193.0565771;Increasing Salary Worker
ES0081765987321048123456;28/04/2023 3:00;PENSION ALIMENTICIA;1;1342.858418;Increasing Salary Worker
ES0081765987321048123456;03/05/2023 0:00;ENERGÍA Y GAS;-1;62.65038985;Increasing Salary Worker
ES0081765987321048123456;05/05/2023 9:00;NOMINA;1;10166.66667;Increasing Salary Worker
ES0081765987321048123456;06/05/2023 12:00;SUPERMERCADOS, PEQUEÑO COMERCIO;-1;207.2108137;Increasing Salary Worker
ES0081765987321048123456;09/05/2023 10:00;ENERGÍA Y GAS;-1;280.1987099;Increasing Salary Worker
ES0081765987321048123456;11/05/2023 3:00;ENERGÍA Y GAS;-1;206.8564327;Increasing Salary Worker
ES0081765987321048123456;19/05/2023 6:00;PENSION ALIMENTICIA;1;715.0041831;Increasing Salary Worker
ES0081765987321048123456;22/05/2023 21:00;SUPERMERCADOS, PEQUEÑO COMERCIO;-1;272.8264919;Increasing Salary Worker
