PAN;IBAN;limite_tarjeta;gasto_mes;CIF;tarjeta_bloqueada
5402********0001;ES0081123456789012345678;1000;800;B12345678;NO
5402********0002;ES0081987654321098765432;2000;1800;D23456789;NO
5402********0003;ES0081567890123456789012;3000;2500;F34567890;NO
5402********0004;ES0081122233445566778899;4000;3500;G45678901;NO
5402********0005;ES0081876543210987654321;5000;4500;H56789012;NO
5402********0006;ES0081345678901234567890;6000;5500;I67890123;NO
5402********0007;ES0081765432109876543210;1000;900;K89012345;NO
5402********0008;ES0081983746259182736452;2000;1500;M01234567;NO
5402********0009;ES0081543210987654321098;3000;2700;N12345678;NO
5402********0010;ES0081654987321048593021;4000;3800;P34567890;NO
5402********0011;ES0081765849321048654321;5000;4700;Q45678901;NO
5402********0012;ES0081123487654321123456;6000;5900;S67890123;NO
5402********0013;ES0081234987654321987654;1000;750;T78901234;NO
5402********0014;ES0081456789012345678901;2000;1900;V90123456;NO
5402********0015;ES0081876598765432123456;3000;2800;W01234567;NO
5402********0016;ES0081983765487632145890;4000;3600;X12345678;NO
5402********0017;ES0081321456789023456789;5000;4900;Y23456789;NO
5402********0018;ES0081765987321048123456;6000;5800;Z34567890;NO
5402********0019;ES0081987654983210456789;1000;950;B56789012;NO
5402********0020;ES0081765876543209876543;2000;1800;C67890123;NO
5402********0021;ES0081123456789012345678;3000;2700;B12345678;NO
5402********0022;ES0081987654321098765432;4000;3700;D23456789;NO
5402********0023;ES0081567890123456789012;5000;4600;F34567890;NO
5402********0024;ES0081122233445566778899;6000;5900;G45678901;NO
5402********0025;ES0081876543210987654321;1000;800;H56789012;NO
5402********0026;ES0081345678901234567890;2000;1500;I67890123;NO
5402********0027;ES0081765432109876543210;3000;2800;K89012345;NO
5402********0028;ES0081983746259182736452;4000;3500;M01234567;NO
5402********0029;ES0081543210987654321098;5000;4500;N12345678;NO
5402********0030;ES0081654987321048593021;6000;5900;P34567890;NO
5402********0031;ES0081765849321048654321;1000;950;Q45678901;NO
5402********0032;ES0081123487654321123456;2000;1800;S67890123;NO
5402********0033;ES0081234987654321987654;3000;2700;T78901234;NO
5402********0034;ES0081456789012345678901;4000;3900;V90123456;NO
5402********0035;ES0081876598765432123456;5000;4800;W01234567;NO
5402********0036;ES0081983765487632145890;6000;5500;X12345678;NO
5402********0037;ES0081321456789023456789;1000;850;Y23456789;NO
5402********0038;ES0081765987321048123456;2000;1900;Z34567890;NO
5402********0039;ES0081987654983210456789;3000;2800;B56789012;NO
5402********0040;ES0081765876543209876543;4000;3700;C67890123;NO
5402********0041;ES0081543210987654321777;2500;2200;N12345678;NO
5402********0042;ES0081765987321048123344;3000;2800;Z34567890;NO
5402********0043;ES0081983765487632145322;1700;1500;X12345678;NO
5402********0044;ES0081765432109876543210;3000;2000;L90123456;NO
5402********0045;ES0081123456789012345678;4500;0;C87654321;NO
5402********0046;ES0081234987654321987654;1200;1000;U89012345;NO
5402********0047;ES0081765849321048654321;2500;1000;R56789012;NO
5402********0048;ES0081987654321098765432;3000;2400;E98765432;NO
5402********0049;ES0081765987321048123456;4555;4000;A45678901;NO
5402********0050;ES0081345678901234567890;4322;4150;J78901234;NO
5402********0051;ES0081543210987654321098;1200;1000;O23456789;NO
5402********0052;ES0081765876543209876543;1790;800;D78901234;NO
