IBAN,Saldo
ES0081123456789012345678,1250.50  
ES0081987654321098765432,3400.75  
ES0081567890123456789012,2789.00  
ES0081122233445566778899,980.25  
ES0081876543210987654321,15000.00  
ES0081345678901234567890,567.89  
ES0081765432109876543210,420.10  
ES0081983746259182736452,2350.65  
ES0081543210987654321098,8900.40  
ES0081654987321048593021,13250.20  
ES0081765849321048654321,3450.75  
ES0081123487654321123456,2567.90  
ES0081234987654321987654,4780.30  
ES0081456789012345678901,750.00  
ES0081876598765432123456,6120.45  
ES0081983765487632145890,13560.80  
ES0081321456789023456789,945.55  
ES0081765987321048123456,7890.00  
ES0081987654983210456789,568.75  
ES0081765876543209876543,4320.95  
ES0081987654321098999432,4000  
ES0081543210987654321777,5000
ES0081765987321048123344,7688
ES0081983765487632145322,8900
